City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,katherine,-14.4667,132.2667,88.12,51,84,5.75,AU,1675732834
331,nuuk,64.1835,-51.7216,5.88,92,99,4.0,GL,1675732834
332,tynda,55.1667,124.7167,-31.0,92,44,1.86,RU,1675732835
333,mildura,-34.2,142.15,79.07,46,0,10.58,AU,1675732835
334,anzio,41.4853,12.6179,39.97,52,100,8.34,IT,1675732836
335,dunedin,-45.8742,170.5036,65.8,70,100,7.0,NZ,1675732546
336,la carlota,10.4233,122.9208,82.54,70,65,6.08,PH,1675732837
337,aranda de duero,41.6704,-3.6892,32.25,80,2,7.78,ES,1675732838
338,rocha,-34.4833,-54.3333,68.2,97,0,3.94,UY,1675732838
339,uren,57.4552,45.7852,-6.2,100,100,1.34,RU,1675732839
340,scarborough,54.2797,-0.4044,38.34,86,100,1.99,GB,1675732839
341,waipawa,-41.4122,175.5153,73.65,50,3,5.19,NZ,1675732840
342,puerto escondido,15.85,-97.0667,79.63,69,75,0.0,MX,1675732546
343,raga,8.4596,25.678,72.37,16,6,4.5,SS,1675732841
344,ambilobe,-13.2,49.05,71.02,95,99,2.42,MG,1675732842
345,ancud,-41.8697,-73.8203,55.04,85,0,2.01,CL,1675732842
346,santo antonio do leverger,-15.8656,-56.0767,77.38,86,100,3.33,BR,1675732843
347,kihei,20.785,-156.4656,82.98,72,20,18.41,US,1675732663
348,liusha,27.2098,108.59,42.17,87,100,3.78,CN,1675732844
349,astoria,46.1879,-123.8313,48.92,76,100,10.36,US,1675732845
350,tucumcari,35.1717,-103.725,47.95,27,0,9.22,US,1675732845
351,arlit,18.7369,7.3853,69.91,15,100,6.69,NE,1675732846
352,tuatapere,-46.1333,167.6833,63.75,57,29,15.79,NZ,1675732847
353,kahului,20.8947,-156.47,82.98,66,20,18.41,US,1675732663
354,novikovo,51.1537,37.8879,13.44,94,35,7.81,RU,1675732848
355,lakes entrance,-37.8811,147.981,70.16,60,27,7.63,AU,1675732849
356,vestmannaeyjar,63.4427,-20.2734,34.97,72,100,39.64,IS,1675732849
357,sharan,54.8167,54.0,3.31,99,96,2.01,RU,1675732850
358,mayo,38.8876,-76.5119,45.14,65,20,6.91,US,1675732851
359,sarh,9.1429,18.3923,67.91,42,0,3.44,TD,1675732851
360,shiyan,32.6475,110.7781,44.87,67,94,2.04,CN,1675732852
361,ostrovnoy,68.0531,39.5131,22.75,85,100,30.02,RU,1675732853
362,tuktoyaktuk,69.4541,-133.0374,-41.8,66,20,2.3,CA,1675732853
363,sioux lookout,50.1001,-91.917,33.87,69,100,14.97,CA,1675732854
364,ozinki,51.1786,49.6769,3.09,93,28,7.14,RU,1675732855
